"Sex","BodyWeight","HeartWeight"
"female","Quantity[2, ""Kilograms""]","Quantity[7, ""Grams""]"
"female","Quantity[2, ""Kilograms""]","Quantity[7.4, ""Grams""]"
"female","Quantity[2, ""Kilograms""]","Quantity[9.5, ""Grams""]"
"female","Quantity[2.1, ""Kilograms""]","Quantity[7.2, ""Grams""]"
"female","Quantity[2.1, ""Kilograms""]","Quantity[7.3, ""Grams""]"
"female","Quantity[2.1, ""Kilograms""]","Quantity[7.6, ""Grams""]"
"female","Quantity[2.1, ""Kilograms""]","Quantity[8.1, ""Grams""]"
"female","Quantity[2.1, ""Kilograms""]","Quantity[8.2, ""Grams""]"
"female","Quantity[2.1, ""Kilograms""]","Quantity[8.3, ""Grams""]"
"female","Quantity[2.1, ""Kilograms""]","Quantity[8.5, ""Grams""]"
"female","Quantity[2.1, ""Kilograms""]","Quantity[8.7, ""Grams""]"
"female","Quantity[2.1, ""Kilograms""]","Quantity[9.8, ""Grams""]"
"female","Quantity[2.2, ""Kilograms""]","Quantity[7.1, ""Grams""]"
"female","Quantity[2.2, ""Kilograms""]","Quantity[8.7, ""Grams""]"
"female","Quantity[2.2, ""Kilograms""]","Quantity[9.1, ""Grams""]"
"female","Quantity[2.2, ""Kilograms""]","Quantity[9.7, ""Grams""]"
"female","Quantity[2.2, ""Kilograms""]","Quantity[10.9, ""Grams""]"
"female","Quantity[2.2, ""Kilograms""]","Quantity[11, ""Grams""]"
"female","Quantity[2.3, ""Kilograms""]","Quantity[7.3, ""Grams""]"
"female","Quantity[2.3, ""Kilograms""]","Quantity[7.9, ""Grams""]"
"female","Quantity[2.3, ""Kilograms""]","Quantity[8.4, ""Grams""]"
"female","Quantity[2.3, ""Kilograms""]","Quantity[9, ""Grams""]"
"female","Quantity[2.3, ""Kilograms""]","Quantity[9, ""Grams""]"
"female","Quantity[2.3, ""Kilograms""]","Quantity[9.5, ""Grams""]"
"female","Quantity[2.3, ""Kilograms""]","Quantity[9.6, ""Grams""]"
"female","Quantity[2.3, ""Kilograms""]","Quantity[9.7, ""Grams""]"
"female","Quantity[2.3, ""Kilograms""]","Quantity[10.1, ""Grams""]"
"female","Quantity[2.3, ""Kilograms""]","Quantity[10.1, ""Grams""]"
"female","Quantity[2.3, ""Kilograms""]","Quantity[10.6, ""Grams""]"
